"rank","artist","title","releaseYear","listHighestRank","listYear","listWeek","listNumWeeksBest","listNumWeeks","listType"
1104,"Anouk","Girl",2004,2,2004,51,2,26,"top40"
1105,"Robert Long","Flink Zijn",1977,,,,,,""
1106,"Marco Borsato","Speeltuin",1998,10,1999,4,2,17,"top40"
1107,"Blink 182","All The Small Things",1999,21,2000,13,1,8,"top40"
1108,"Bee Gees","Night Fever",1978,3,1978,19,3,13,"top40"
1109,"Sting","Shape Of My Heart",1993,,,,,,""
1110,"Black Crowes","Remedy",1992,24,1993,28,2,3,"top40"
1111,"Earth & Fire","Storm And Thunder",1971,6,1971,40,1,10,"top40"
1112,"Cock Robin","The Promise You Made",1986,1,1986,12,2,13,"top40"
1113,"Ralph McTell","Streets Of London",1972,9,1972,20,2,8,"top40"
1114,"ABBA","Take A Chance On Me",1977,2,1978,7,2,9,"top40"
1115,"Simple Minds","Someone Somewhere (in Summertime)",1982,,,,,,""
1116,"The Cats","Marian",1969,1,1969,51,5,16,"top40"
1117,"Roxette","Listen To Your Heart",1988,3,1989,49,1,12,"top40"
1118,"Stevie Wonder","Isn't She Lovely",1976,,,,,,""
1119,"Alanis Morissette","You Oughta Know",1995,11,1995,42,1,8,"top40"
1120,"John Denver","Perhaps Love",1981,23,1982,2,2,5,"top40"
1121,"Boudewijn de Groot","Het Land Van Maas En Waal",1967,1,1967,6,3,18,"top40"
1122,"Talk Talk","It's My Life",1984,31,1984,13,1,4,"top40"
1123,"Bruce Springsteen","Hungry Heart",1980,8,1995,42,1,8,"tip"
1124,"Q65","The Life I Live",1966,5,1966,29,2,14,"top40"
1125,"Pat Benatar","Love Is A Battlefield",1984,1,1984,11,4,14,"top40"
1126,"Normaal","Alie",1977,12,1977,32,1,7,"top40"
1127,"Bløf","Alles Is Liefde",2007,2,2007,43,4,20,"top40"
1128,"Anouk & Douwe Bob","Hold Me",2015,10,2015,8,1,11,"top40"
1129,"Celine Dion","My Heart Will Go On",1998,1,1998,8,10,20,"top40"
1130,"Gregory Porter","Liquid Spirit",2015,2,2015,22,1,5,"tip"
1131,"The Black Eyed Peas","Where Is The Love",2003,1,2003,39,2,17,"top40"
1132,"R.E.M.","Shiny Happy People",1991,10,1991,27,1,7,"top40"
1133,"Stealers Wheel","Stuck In The Middle With You",1973,12,1973,21,1,7,"top40"
1134,"Editors","Racing Rats",2007,12,2007,52,1,6,"top40"
1135,"The Smashing Pumpkins","1979",1996,38,1996,10,2,2,"top40"
1136,"Bee Gees","I Started A Joke",1969,3,1969,5,2,9,"top40"
1137,"Dotan","Hungry",2015,12,2015,20,1,22,"top40"
1138,"Muse","Unintended",2009,,,,,,""
1139,"Frans Halsema & Jenny Arean","Vluchten Kan Niet Meer",1977,19,1977,46,1,5,"top40"
1140,"Robert Plant","Big Log",1983,4,1983,40,2,10,"top40"
1141,"Joe Cocker","You Can Leave Your Hat On",1986,,,,,,""
1142,"Dire Straits","Why Worry",1985,,,,,,""
1143,"Douwe Bob","Jacob's Song",2016,,,,,,""
1144,"David Bowie","Where Are We Now",2013,28,2013,3,2,2,"top40"
1145,"Stromae","Alors On Danse",2010,1,2010,19,8,19,"top40"
1146,"Bee Gees","Nights On Broadway",1975,8,1975,51,1,10,"top40"
1147,"Dolly Parton","I Will Always Love You",1983,2,1983,13,3,11,"top40"
1148,"Spice Girls","Wannabe",1996,1,1996,36,2,13,"top40"
1149,"Band Aid","Do They Know It's Christmas",1984,1,1985,1,3,9,"top40"
1150,"James Brown","Sex Machine",1970,8,1970,40,1,9,"top40"
1151,"R.E.M.","Drive",1992,15,1992,44,1,6,"top40"
1152,"Arctic Monkeys","When The Sun Goes Down",2006,14,2006,10,1,5,"tip"
1153,"Keane","Everybody's Changing",2004,18,2004,37,1,11,"top40"
1154,"Skunk Anansie","Hedonism",1997,6,1997,18,3,14,"top40"
1155,"Iggy Pop & Kate Pierson","Candy",1990,4,1990,45,2,10,"top40"
1156,"Chris Rea","Josephine",1985,3,1985,33,1,13,"top40"
1157,"Zucchero Fornaciari","Il Volo",1996,15,1996,43,1,11,"top40"
1158,"Veldhuis & Kemper","Ik Wou Dat Ik Jou Was",2003,2,2003,22,5,17,"top40"
1159,"Queens Of The Stone Age","Go With The Flow",2002,5,2003,21,1,4,"tip"
1160,"Elvis Presley","Love Me Tender",1956,9,1991,14,1,5,"tip"
1161,"J.J. Cale","Cocaine",1973,,,,,,""
1162,"Patrick Bruel","Casser La Voix (Live)",1992,8,1992,13,1,8,"top40"
1163,"Melanie","Beautiful People",1969,9,1969,50,1,9,"top40"
1164,"Labi Siffre","(Something Inside) So Strong",1987,3,1987,28,2,11,"top40"
1165,"The Dave Brubeck Quartet","Take Five",1962,15,1970,2,2,6,"top40"
1166,"Little River Band","It's A Long Way There",1976,13,1976,48,1,8,"top40"
1167,"John Denver","Calypso",1975,2,1975,51,2,11,"top40"
1168,"Mike & The Mechanics","The Living Years",1989,20,1989,9,1,4,"top40"
1169,"Electric Light Orchestra","Don't Bring Me Down",1979,5,1979,35,3,11,"top40"
1170,"Status Quo","Rockin' All Over The World",1977,13,1977,47,1,7,"top40"
1171,"Jett Rebel","Louise",2014,,,,,,""
1172,"Stone Temple Pilots","Plush",1993,20,1993,38,1,7,"top40"
1173,"Spandau Ballet","Gold",1983,2,1983,41,2,10,"top40"
1174,"Herbert Grönemeyer","Mensch",2004,,,,,,""
1175,"Coldplay","Talk",2005,1,2005,53,4,20,"top40"
1176,"Stevie Wonder","Sir Duke",1977,21,1977,19,1,5,"top40"
1177,"Creedence Clearwater Revival","Proud Mary",1969,11,1969,15,1,8,"top40"
1178,"Eva Cassidy","Songbird",1998,,,,,,""
1179,"Gavin James","The Book Of Love",2015,35,2015,11,1,8,"top40"
1180,"Scott McKenzie","San Francisco",1967,1,1967,32,6,20,"top40"
1181,"Al Green","Let's Stay Together",1971,,,,,,""
1182,"Marco Borsato","Ik Leef Niet Meer Voor Jou",1996,8,1996,12,2,12,"top40"
1183,"Marco Borsato","De Waarheid",1996,2,1996,50,3,12,"top40"
1184,"The Beach Boys","Tears In The Morning",1970,6,1971,2,1,9,"top40"
1185,"Frank Sinatra","It Was A Very Good Year",1965,,,,,,""
1186,"The Dubliners","Wild Rover",1964,,,,,,""
1187,"Thin Lizzy","Boys Are Back In Town",1976,,,,,,""
1188,"Clannad","Theme From Harry's Game",1983,9,1993,27,2,15,"top40"
1189,"Percy Sledge","When A Man Loves A Woman",1966,12,1966,26,1,11,"top40"
1190,"John Lennon","Working Class Hero",1970,,,,,,""
1191,"Paul McCartney & Wings","Live And Let Die",1973,27,1973,35,1,3,"top40"
1192,"Fleetwood Mac","Oh Well - Part 1",1969,1,1969,47,4,11,"top40"
1193,"Marvin Gaye","Let's Get It On",1973,,,,,,""
1194,"Nits","Nescio",1983,8,1983,17,1,8,"top40"
1195,"Portishead","Glory Box",1994,31,1995,11,1,4,"top40"
1196,"Beyoncé","Listen",2007,2,2007,7,2,6,"tip"
1197,"Lange Frans & Baas B","Het Land Van…",2005,1,2005,41,2,16,"top40"
1198,"Paul McCartney & The Frog Chorus","We All Stand Together",1985,12,1985,4,3,8,"top40"
1199,"Kenny B.","Parijs",2015,1,2015,17,7,23,"top40"
1200,"Coldplay","In My Place",2002,3,2002,36,2,8,"tip"
1201,"James Taylor","Fire And Rain",1970,24,1970,47,1,3,"top40"
1202,"Counting Crows","A Long December",1996,12,1998,3,1,4,"tip"
1203,"David Bowie","Young Americans",1975,,,,,,""
1204,"James Blunt","Goodbye My Lover",2005,4,2006,5,1,14,"top40"
1205,"Doe Maar","Smoorverliefd",1981,12,1981,43,1,5,"tip"
1206,"Michael Jackson","Don't Stop Till You Get Enough",1979,2,1979,43,2,10,"top40"
1207,"Jonathan Jeremiah","Happiness",2011,11,2011,22,1,11,"tip"
1208,"Heart","Barracuda",1977,4,1977,32,1,7,"tip"
1209,"Whitney Houston","One Moment In Time",1988,6,1988,43,2,10,"top40"
1210,"Chicago","25 Or 6 To 4",1970,13,1970,34,1,8,"top40"
1211,"The Rolling Stones","Miss You",1978,2,1978,28,2,13,"top40"
1212,"Blaudzun","Promises Of No Man's Land",2014,33,2014,7,1,5,"top40"
1213,"Kim Wilde","Cambodia",1981,2,1982,8,2,12,"top40"
1214,"Duran Duran","Save A Prayer",1985,19,1985,12,1,7,"top40"
1215,"Gigi D'agostino","L'amour Toujours",1999,1,2001,50,3,17,"top40"
1216,"War On Drugs","Red Eyes",2014,,,,,,""
1217,"Santana","Europa (Earth's Cry Heaven Smile)",1977,17,1978,34,1,3,"tip"
1218,"John Legend","Ordinary People",2005,20,2005,28,1,9,"top40"
1219,"Barbra Streisand","Guilty",1980,12,1980,51,1,6,"top40"
1220,"James Blunt","You're Beautiful",2005,1,2005,37,4,27,"top40"
1221,"ABBA","Knowing Me, Knowing You",1977,3,1977,11,1,7,"top40"
1222,"ABBA","Fernando",1975,1,1976,14,3,12,"top40"
1223,"Tears For Fears","Sowing The Seeds Of Love",1989,3,1989,40,1,11,"top40"
1224,"Paul McCartney & Wings","Mull Of Kintyre",1977,1,1977,52,5,17,"top40"
1225,"Extreme","More Than Words",1991,1,1991,28,1,14,"top40"
1226,"Bob Marley & The Wailers","Stir It Up",1979,2,1979,18,1,12,"top40"
1227,"Bruno Mars","Just The Way You Are",2010,1,2010,42,11,23,"top40"
1228,"Supertramp","Take The Long Way Home",1979,7,1980,43,1,5,"tip"
1229,"Mumford & Sons","Babel",2013,,,,,,""
1230,"Elton John","Rocket Man",1972,10,1972,20,1,4,"tip"
1231,"Limp Bizkit","Behind Blue Eyes",2003,4,2003,51,3,14,"top40"
1232,"Cuby & The Blizzards","Appleknockers Flophouse",1969,12,1969,50,1,9,"top40"
1233,"Sting","Moon Over Bourbon Street",1985,,,,,,""
1234,"Arctic Monkeys","Fluorescent Adolescent",2007,,,,,,""
1235,"Golden Earring","Back Home",1970,1,1970,34,5,20,"top40"
1236,"The Beach Boys","Sloop John B",1966,1,1966,20,4,20,"top40"
1237,"Bad English","Time Stood Still",1991,7,1992,6,1,7,"top40"
1238,"Within Temptation","Faster",2011,19,2011,13,1,6,"top40"
1239,"Duran Duran","The Reflex",1984,1,1984,23,6,13,"top40"
1240,"Rod Stewart","Maggie May",1971,3,1971,47,1,16,"top40"
1241,"Paul de Leeuw","Vlieg Met Me Mee",1992,2,1992,50,2,14,"top40"
1242,"The Shadows","Apache",1960,,,,,,""
1243,"Patti Smith Group","Because The Night",1978,5,1978,22,1,5,"tip"
1244,"Jeff Wayne","The Eve Of The War",1978,3,1978,38,2,18,"top40"
1245,"Electric Light Orchestra","Livin' Thing",1976,6,1976,52,1,9,"top40"
1246,"Bløf","Aanzoek Zonder Ringen",2007,2,2006,6,2,16,"top40"
1247,"Is Ook Schitterend","Voltooid Verleden Tijd",1997,6,1997,46,1,11,"top40"
1248,"Mr. Probz","Nothing Really Matters",2014,1,2014,42,7,26,"top40"
1249,"Outkast","Hey Ya!",2004,22,2004,28,2,15,"top40"
1250,"Canned Heat","On The Road Again",1968,5,1968,41,2,10,"top40"
1251,"Bill Withers","Lovely Day",1978,24,1978,12,2,6,"top40"
