"rank","artist","releaseYear"
567,"Eurythmics",1983
568,"Het Goede Doel",1986
569,"Metallica",1998
570,"Bastille",2013
571,"Daniel Lohues",2008
572,"Prince",1987
573,"Adele",2016
574,"Ram Jam",1978
575,"Mike Oldfield",1974
576,"Van Halen",1980
577,"Gorillaz",2005
578,"Metallica",1992
579,"War On Drugs",2014
580,"Leonard Cohen",1988
581,"Status Quo",1975
582,"Edith Piaf",1961
583,"Queen",1977
584,"Eagles",1977
585,"Don McLean",1972
586,"Manic Street Preachers",1992
587,"Bon Jovi",2000
588,"Joe Jackson",1979
589,"Blur",1997
590,"Spandau Ballet",1986
591,"Red Hot Chili Peppers",2003
592,"U2",1989
593,"John Mayer",2006
594,"John Mayer",2006
595,"The Blue Nile",1984
596,"Oasis",1995
597,"Chicago",1976
598,"Kate Bush",1985
599,"Racoon",2011
600,"Gorillaz",2001
601,"Triggerfinger",2012
602,"Joe Jackson",1984
603,"John Mayer",2005
604,"David Bowie",1980
605,"Chi Coltrane",1973
606,"Foo Fighters",2009
607,"Frank Boeijen Groep",1987
608,"Bruno Mars",2016
609,"Anouk",2000
610,"Rammstein",2001
611,"Liquido",1998
612,"Art Garfunkel",1979
613,"ABBA",1975
614,"David Bowie",1983
615,"Chris Rea",1986
616,"Pink Floyd",1973
617,"Michael Jackson",1972
618,"The Alan Parsons Project",1980
619,"Bonnie Tyler",1983
620,"INXS",1988
621,"George Baker Selection",1969
622,"Kate Bush",1985
623,"Cream",1968
624,"Creedence Clearwater Revival",1970
625,"Michael Jackson",1996
626,"Doe Maar",1981
627,"Guus Meeuwis",2009
628,"Fleetwood Mac",1968
629,"David Bowie",1976
630,"Nick Cave",1997
630,"The Bad Seeds",1997
631,"Elvis Presley",1975
632,"Bruce Springsteen",1986
633,"Avicii",2013
634,"ZZ Top",1985
635,"De Dijk",1989
636,"Daniel Lohues",2011
637,"The Kinks",1970
